MainRegion,Region,Location,Latitude,Longitude,Year,ALT_Max,NDVI,EVI
Alaska,Alaska Interior,Bonanza_Creek,64.7144444,-148.1452778,2003,75.0,3189.6,1191.4
Alaska,Alaska Interior,Bonanza_Creek,64.7144444,-148.1452778,2004,69.0,3177.2,1271.7
Alaska,Alaska Interior,Bonanza_Creek,64.7144444,-148.1452778,2005,102.0,3050.65,1233.85
Alaska,Alaska Interior,Bonanza_Creek,64.7144444,-148.1452778,2006,105.0,2791.65,1015.0
Alaska,Alaska Interior,Bonanza_Creek,64.7144444,-148.1452778,2007,92.0,3065.3,1215.75
Alaska,Alaska Interior,Bonanza_Creek,64.7144444,-148.1452778,2008,70.0,2676.45,1112.65
Alaska,Alaska Interior,Bonanza_Creek,64.7144444,-148.1452778,2009,70.0,3061.7,1272.95
Alaska,Alaska Interior,Bonanza_Creek,64.7144444,-148.1452778,2010,80.0,2898.0,1109.8
Alaska,Alaska Interior,Bonanza_Creek,64.7144444,-148.1452778,2011,114.0,2764.05,1107.25
Alaska,Alaska Interior,Bonanza_Creek,64.7144444,-148.1452778,2012,145.0,2836.1,1218.9
Alaska,Alaska Interior,Bonanza_Creek,64.7144444,-148.1452778,2013,165.0,2765.6,1257.85
Alaska,Alaska Interior,Bonanza_Creek,64.7144444,-148.1452778,2014,213.0,2807.35,1187.9
Alaska,Alaska Interior,Bonanza_Creek,64.7144444,-148.1452778,2015,209.0,3018.85,1295.5
Alaska,Alaska Interior,Bonanza_Creek,64.7144444,-148.1452778,2016,240.0,3320.8,1422.3
Alaska,Alaska Interior,Bonanza_Creek,64.7144444,-148.1452778,2017,271.0,2932.05,1338.35
Alaska,Alaska Interior,Bonanza_Creek,64.7144444,-148.1452778,2018,303.0,2968.9,1352.0
Alaska,Alaska Interior,Bonanza_Creek,64.7144444,-148.1452778,2019,330.0,3281.7,1541.1
Alaska,Alaska Interior,Bonanza_Creek,64.7144444,-148.1452778,2020,276.0,3145.7,1422.05
Alaska,Alaska Interior,Bonanza_Creek,64.7144444,-148.1452778,2021,366.0,2928.35,1449.0
Alaska,Alaska Interior,Bonanza_Creek,64.7144444,-148.1452778,2022,391.0,3025.45,1419.0
Alaska,Alaska Interior,Bonanza_Creek,64.7144444,-148.1452778,2023,390.0,2879.7,1436.6
Alaska,Alaska Interior,Bonanza_Creek,64.7144444,-148.1452778,2024,407.0,3095.35,1448.8
Alaska,Alaska Interior,Galena,64.7333,-156.78334,2009,55.0,3502.8,1652.7
Alaska,Alaska Interior,Galena,64.7333,-156.78334,2010,62.0,3477.2,1635.9
Alaska,Alaska Interior,Galena,64.7333,-156.78334,2011,69.0,3191.0,1582.55
Alaska,Alaska Interior,Galena,64.7333,-156.78334,2012,72.0,3534.25,1775.95
Alaska,Alaska Interior,Galena,64.7333,-156.78334,2013,80.0,3420.55,1438.75
Alaska,Alaska Interior,Galena,64.7333,-156.78334,2014,80.0,3487.7,1596.85
Alaska,Alaska Interior,Ruby,64.73486,-155.48461,2010,100.0,2662.85,1058.35
Alaska,Alaska Interior,Ruby,64.73486,-155.48461,2011,100.0,2234.2,864.6
Alaska,Alaska Interior,Ruby,64.73486,-155.48461,2012,100.0,2488.75,1015.15
